date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,10.4,7.6,16.5,0,,,7,,1028.2,
2023-01-02 00:00:00,10.1,5.4,15.5,0,,,7.1,,1026.1,
2023-01-03 00:00:00,8.5,5.2,13.6,0,,,8.5,,1028,
2023-01-04 00:00:00,7.6,4.4,12.1,0,,,5.4,,1029.6,
2023-01-05 00:00:00,7.8,3.6,13,0,,,7,,1020.3,
2023-01-06 00:00:00,7.6,4.4,13.6,0,,,6.1,,1024,
2023-01-07 00:00:00,5.2,0.5,11.5,0,,,4.6,,1022.2,
2023-01-08 00:00:00,6.5,1,13.5,0,,,9.3,,1016.7,
2023-01-09 00:00:00,7,4.2,8.8,10.5,,,11.8,,1005.6,
2023-01-10 00:00:00,5.5,4.4,8.1,17,,,24.4,,1008.8,
2023-01-11 00:00:00,5,3.2,6.5,0.1,,,14.6,,1019.7,
2023-01-12 00:00:00,3.4,-0.5,5.5,0,,,7.4,,1022.9,
2023-01-13 00:00:00,3,-1,7.8,0,,,7.8,,1020.2,
2023-01-14 00:00:00,5.1,0.9,9.7,1.7,,,7,,1022.2,
2023-01-15 00:00:00,3.2,-1.2,8.2,0.2,,,9,,1015.8,
2023-01-16 00:00:00,5.8,3.1,9.1,1.5,,,8.9,,1002,
2023-01-17 00:00:00,7.2,4.4,9.5,8.1,,,12.8,,992.4,
2023-01-18 00:00:00,8.4,5.7,13.2,26,,,9.6,,994,
2023-01-19 00:00:00,4.1,-0.1,7.4,7.4,,,12,,1003.4,
2023-01-20 00:00:00,0.4,-1,1.3,1.5,,,15.1,,1009.5,
2023-01-21 00:00:00,0.5,0,1.9,5.4,,,8.5,,1012.7,
2023-01-22 00:00:00,1.3,0.2,3.9,3.4,,,9.4,,1019.9,
2023-01-23 00:00:00,5.5,2.4,7.1,4.3,,,15.4,,1023.1,
2023-01-24 00:00:00,4.4,3.4,5.2,3.2,,,5.7,,1030.4,
2023-01-25 00:00:00,2.6,2,3.5,0,,,5.9,,1029.6,
2023-01-26 00:00:00,1.2,0.4,2,0.5,,,9.9,,1019.8,
2023-01-27 00:00:00,0.5,0,1,2,,,10.3,,1015.3,
2023-01-28 00:00:00,0.9,0.1,1.7,0.4,,,14,,1019.8,
2023-01-29 00:00:00,0.8,-3,2.5,0,,,10.7,,1025.7,
2023-01-30 00:00:00,0.9,-3.2,4.3,0.3,,,7.7,,1019.3,
2023-01-31 00:00:00,2.9,0.5,5.2,0.6,,,15.1,,1019.6,
2023-02-01 00:00:00,4.5,1.5,9.5,0,,,7.6,,1019,
2023-02-02 00:00:00,4.3,1.7,6.7,1.2,,,16.7,,1019.4,
2023-02-03 00:00:00,4.3,0.8,7.7,2.9,,,12.5,,1022.8,
2023-02-04 00:00:00,3.9,-1.1,7,0.4,,,29.3,,1021.5,
2023-02-05 00:00:00,-1,-2.7,1,0,,,12.1,,1033.4,
2023-02-06 00:00:00,-2.9,-5.8,0.8,0,,,8.4,,1037.1,
2023-02-07 00:00:00,-3.2,-6.4,0.1,0,,,5.9,,1039.5,
2023-02-08 00:00:00,-2,-5.8,2.7,0.4,,,7.2,,1040.8,
2023-02-09 00:00:00,-2.1,-6.4,3,0,,,8.3,,1039.7,
2023-02-10 00:00:00,-2.9,-7.5,3.4,0,,,4.8,,1039.1,
2023-02-11 00:00:00,-0.3,-6.1,6.1,0,,,6.6,,1035.5,
2023-02-12 00:00:00,5,-0.6,9.7,0.1,,,9,,1034,
2023-02-13 00:00:00,3.6,-2,9.5,0,,,8.8,,1037.7,
2023-02-14 00:00:00,4.4,-0.2,7,0,,,10.8,,1035.2,
2023-02-15 00:00:00,3.2,-2.1,9.6,0,,,4.9,,1033,
2023-02-16 00:00:00,3.5,-2.3,11.7,0,,,6.7,,1028.6,
2023-02-17 00:00:00,7,-1.3,16.4,0,,,7.8,,1025.7,
2023-02-18 00:00:00,9.9,6.8,14.5,0,,,7.9,,1021.5,
2023-02-19 00:00:00,9.7,4.7,16.1,0,,,11.1,,1019.8,
2023-02-20 00:00:00,9.6,4.5,15.6,0,,,8.8,,1024.3,
2023-02-21 00:00:00,10.2,3.7,18.8,0,,,7.2,,1017.4,
2023-02-22 00:00:00,9.2,2.2,16.8,0,,,5.6,,1016.8,
2023-02-23 00:00:00,9.2,3.6,15.2,0,,,7.5,,1015.8,
2023-02-24 00:00:00,11.5,6.4,16.7,0,,,12.4,,1010.2,
2023-02-25 00:00:00,7.2,0.3,13.7,27.9,,,12.8,,1002.9,
2023-02-26 00:00:00,0.7,0.2,2.2,23.6,,,10.3,,1009,
2023-02-27 00:00:00,1.6,0.2,3.4,3.6,,,8.1,,1021.1,
2023-02-28 00:00:00,1,-0.2,2.8,0.4,,,6.4,,1027.1,
2023-03-01 00:00:00,4.4,1.8,6.8,0,,,7.4,,1023,
2023-03-02 00:00:00,5.9,5,6.7,1.1,,,6,,1019.5,
2023-03-03 00:00:00,6.2,4.8,8.3,0.4,,,5.6,,1018.2,
2023-03-04 00:00:00,6.5,2,11.4,0,,,8.8,,1016.7,
2023-03-05 00:00:00,4.7,-0.2,7.5,0,,,7.2,,1014.3,
2023-03-06 00:00:00,5,-1.3,12.7,0.7,,,7.3,,1008.5,
2023-03-07 00:00:00,8.2,3,13.9,1.5,,,8.4,,1005.3,
2023-03-08 00:00:00,11,5.5,16.1,0.2,,,9,,1005.1,
2023-03-09 00:00:00,12.6,8.8,19.7,4.1,,,14.6,,1003,
2023-03-10 00:00:00,10.2,7.2,13.7,8.8,,,10.1,,1002.2,
2023-03-11 00:00:00,6,1.2,9.1,10.2,,,9.3,,1002,
2023-03-12 00:00:00,3.7,-0.4,9.2,0,,,8,,1016.9,
2023-03-13 00:00:00,7.3,-0.3,17.1,0,,,10.7,,1017.5,
2023-03-14 00:00:00,12.6,5.6,21.7,0,,,11.5,,1004.9,
2023-03-15 00:00:00,7.8,4.8,10.2,3.3,,,20.8,,1008.3,
2023-03-16 00:00:00,4.8,0.4,10.1,0.2,,,13.4,,1020.8,
2023-03-17 00:00:00,4.4,-2.5,12.1,0,,,6.2,,1024.1,
2023-03-18 00:00:00,7,-1,15.7,0,,,9.4,,1019.5,
2023-03-19 00:00:00,9.5,0.3,18.5,0,,,5,,1018.3,
2023-03-20 00:00:00,12.1,6.7,17,1.3,,,11.5,,1017.5,
2023-03-21 00:00:00,13.1,7.4,19.2,0,,,8.9,,1016,
2023-03-22 00:00:00,12.7,6.7,19.3,0,,,6,,1015.4,
2023-03-23 00:00:00,12.8,4,21,0,,,7.2,,1014.6,
2023-03-24 00:00:00,15.5,5.5,25.1,0,,,11.3,,1011.6,
2023-03-25 00:00:00,11.5,6.4,15,1.2,,,12.6,,1011.6,
2023-03-26 00:00:00,11,3.1,18.1,0,,,10.3,,1009.6,
2023-03-27 00:00:00,8.2,5,11.8,11.6,,,22.4,,1001.9,
2023-03-28 00:00:00,4.3,0.2,8.2,0.3,,,22.9,,1020.2,
2023-03-29 00:00:00,5.9,-1,12.1,0,,,6.3,,1025.3,
2023-03-30 00:00:00,11.8,3.7,20.1,0,,,10.6,,1019,
2023-03-31 00:00:00,14.8,10,20.6,1.8,,,13.2,,1010.7,
2023-04-01 00:00:00,10.1,6.9,13.6,14.5,,,11.8,,1004.6,
2023-04-02 00:00:00,10.8,5.1,16.2,0.3,,,11.1,,1009.2,
2023-04-03 00:00:00,6.6,4.4,9.1,0.2,,,19.2,,1015.8,
2023-04-04 00:00:00,3.9,1.7,6.2,2.5,,,14.5,,1016.8,
2023-04-05 00:00:00,3.7,-0.5,6.4,0.1,,,8.6,,1019,
2023-04-06 00:00:00,4.7,-1.2,10.1,0,,,13.4,,1017,
2023-04-07 00:00:00,6.2,4.2,8.7,0.3,,,13.8,,1016.3,
2023-04-08 00:00:00,6.8,4.2,10,0.2,,,5.3,,1019.2,
2023-04-09 00:00:00,6.6,3,10.6,0.8,,,7.4,,1022.6,
2023-04-10 00:00:00,8.5,0.4,15.8,0,,,10.4,,1021.6,
2023-04-11 00:00:00,11.9,5.5,18.5,0.1,,,10.4,,1015.2,
2023-04-12 00:00:00,11.5,4.8,16.4,0,,,12.7,,1010.8,
2023-04-13 00:00:00,12.7,6.3,20.6,1.6,,,7.4,,1004.2,
2023-04-14 00:00:00,10.3,7.5,12.1,6,,,10.2,,1001.6,
2023-04-15 00:00:00,9.5,4,16.8,3.3,,,7.8,,1007.8,
2023-04-16 00:00:00,11.2,7.9,16,3,,,11,,1011.9,
2023-04-17 00:00:00,12,8.5,16.2,10.3,,,11.4,,1012.1,
2023-04-18 00:00:00,12.4,10.5,14.9,3.4,,,5.9,,1014.2,
2023-04-19 00:00:00,12.4,8.1,15.9,0,,,12.9,,1014.3,
2023-04-20 00:00:00,12.3,5.8,19,0,,,5.9,,1014.8,
2023-04-21 00:00:00,13,6.7,19.1,0,,,6.9,,1014.1,
2023-04-22 00:00:00,14.4,7.2,21.7,0,,,6.2,,1014.3,
2023-04-23 00:00:00,15.5,6.6,22.7,0,,,6.3,,1012.3,
2023-04-24 00:00:00,13.5,11.5,16,9,,,7.6,,1007.8,
2023-04-25 00:00:00,13.1,9.9,17.3,6.8,,,15.7,,1007.5,
2023-04-26 00:00:00,11.1,7.6,15.6,0,,,15.3,,1013.4,
2023-04-27 00:00:00,10.4,3.2,16.2,0,,,7.1,,1019.7,
2023-04-28 00:00:00,12.3,4.9,18.8,0,,,8.8,,1019.8,
2023-04-29 00:00:00,15.8,10.6,21.8,0.9,,,6.2,,1014,
2023-04-30 00:00:00,15.3,10.3,21.4,0.1,,,11.8,,1015.7,
2023-05-01 00:00:00,15.6,8.2,22.2,0,,,9.9,,1016.7,
2023-05-02 00:00:00,16.5,12.2,20.6,0.7,,,9.8,,1015.1,
2023-05-03 00:00:00,16.3,12.4,19.6,0,,,9.1,,1018.1,
2023-05-04 00:00:00,15.4,12.8,19.7,0.3,,,7.6,,1020.3,
2023-05-05 00:00:00,16.7,9.1,23.4,0,,,5.1,,1019.1,
2023-05-06 00:00:00,18.7,10.1,25.4,0,,,6,,1016.2,
2023-05-07 00:00:00,18.8,11,26.1,1.2,,,5.4,,1015.7,
