date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,8.2,6.4,10.8,0,,,5.8,,1030.6,
2025-01-02 00:00:00,10.7,6.9,14.6,0.4,,,16.7,,1023.5,
2025-01-03 00:00:00,9.2,3.7,14,20.3,,,20.1,,1014,
2025-01-04 00:00:00,5.9,1.5,11.9,0,,,7.4,,1020,
2025-01-05 00:00:00,7.7,3.5,12.1,2.2,,,15.9,,1018.6,
2025-01-06 00:00:00,13.4,11.7,14.4,0,,,30.4,,1014,
2025-01-07 00:00:00,14.3,10.5,15.1,0,,,30.2,,1010.1,
2025-01-08 00:00:00,12.5,9.6,15.4,0,,,11.5,,1014.9,
2025-01-09 00:00:00,13.9,13.2,14.3,0.4,,,29.7,,1012.6,
2025-01-10 00:00:00,11.2,6.9,15.7,3.5,,,13.6,,1011.8,
2025-01-11 00:00:00,7.8,4.8,12,0,,,9.4,,1015.5,
2025-01-12 00:00:00,5.6,3.9,8.4,0,,,14,,1020.1,
2025-01-13 00:00:00,5.3,3.6,7.1,0,,,18.3,,1026.3,
2025-01-14 00:00:00,5.4,2.2,9.6,0,,,13.6,,1028.2,
2025-01-15 00:00:00,5.3,1,9.1,0,,,11.6,,1022.9,
2025-01-16 00:00:00,7.1,2.8,11.3,0,,,20.9,,1029.6,
2025-01-17 00:00:00,6.2,1.9,11.8,0,,,12,,1033.4,
2025-01-18 00:00:00,6.6,2.1,12.6,0,,,10,,1027.1,
2025-01-19 00:00:00,8.4,2.8,11.8,0.9,,,11.1,,1023.5,
2025-01-20 00:00:00,9.9,6.3,13.1,5.8,,,7.1,,1021.3,
2025-01-21 00:00:00,10.8,8.5,14,5.7,,,8.8,,1017.5,
2025-01-22 00:00:00,10.3,7.4,12.1,0.2,,,11.4,,1017.9,
2025-01-23 00:00:00,12,10.1,13.4,2.1,,,25.7,,1014.4,
2025-01-24 00:00:00,12.2,9.6,14,2.1,,,9,,1017.6,
2025-01-25 00:00:00,11.6,8.1,15,0,,,10.5,,1021.4,
2025-01-26 00:00:00,12.1,9.5,15.2,0.9,,,19.1,,1017.5,
2025-01-27 00:00:00,11.8,8.8,14.3,0.3,,,22,,1016.5,
2025-01-28 00:00:00,13.9,12.9,14.7,3.7,,,40.9,,1007.6,
2025-01-29 00:00:00,11.8,9,14.8,0,,,9.3,,1014.1,
2025-01-30 00:00:00,10.4,7.2,15,0,,,7.9,,1018.2,
2025-01-31 00:00:00,10.2,7.5,13.8,0,,,6.2,,1025,
2025-02-01 00:00:00,11.3,7.3,15,0,,,10.5,,1025.2,
2025-02-02 00:00:00,10.3,5.6,15.6,0,,,10.3,,1019.7,
2025-02-03 00:00:00,9.4,6,16,0,,,11.4,,1020,
2025-02-04 00:00:00,7.7,3,13,0,,,8.4,,1025.2,
2025-02-05 00:00:00,8.1,3,14,0,,,7.8,,1029.7,
2025-02-06 00:00:00,8.5,3.8,14.2,0,,,9.7,,1029.8,
2025-02-07 00:00:00,8.9,3.5,14.2,0.2,,,12.8,,1029.2,
2025-02-08 00:00:00,10.2,8.5,12.1,4,,,14.1,,1028.3,
2025-02-09 00:00:00,11.2,8.7,15.1,0,,,11.2,,1026.8,
2025-02-10 00:00:00,10.1,6.3,12.3,0.3,,,8.5,,1025,
2025-02-11 00:00:00,10,7.9,11.7,0.4,,,7,,1024.6,
